year2,state,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1979,11,13380,15433,345004,331429,1874,12.2,1607,10.5,64614,14861,49753,4.5,19.5,37464,15037,22427,4.5,11.3,27150,8.2,22.6,0,1053,1054,6545
1979,12,167424,200111,2783863,2670667,35985,18.4,25359,13,658780,266529,392251,10,24.7,432388,182845,249543,6.8,16.2,226392,8.5,32.4,0,18719,18824,114512
1979,13,82569,101420,1697563,1656127,15344,15.3,12251,12.2,328491,125754,202737,7.6,19.8,245618,89697,155921,5.4,14.8,82873,5,29.6,0,8777,8797,46769
1979,15,16176,19540,299448,287828,3146,16.5,2052,10.8,63981,24127,39854,8.4,22.2,40741,15616,25125,5.4,14.2,23240,8,28.4,0,1398,1407,8575
1979,16,17199,20004,273063,252533,3258,17,1729,9,78811,48419,30392,19.2,31.2,37750,11796,25954,4.7,14.9,41061,16.3,29.8,0,33,34,369
1979,17,179472,210286,4254550,4162321,26452,12.6,23368,11.2,749328,234048,515280,5.6,18,564871,212830,352041,5.1,13.6,184457,4.4,27.2,0,16189,16242,99206
1979,18,81915,98949,1890770,1858688,12617,12.8,10615,10.8,307539,95796,211743,5.2,16.5,243376,79544,163832,4.3,13.1,64163,3.4,26.2,0,7566,7599,41438
1979,19,55821,65560,917143,895752,7943,12.1,7598,11.6,158501,52484,106017,5.9,17.7,115718,45592,70126,5.1,12.9,42783,4.8,25.8,0,5486,5547,26840
1979,20,46258,54044,745742,722775,7216,13.4,6219,11.6,144860,46269,98591,6.4,20,98926,39884,59042,5.5,13.7,45934,6.3,27.4,0,4448,4460,22021
1979,21,52244,61395,1012738,984779,8594,14.1,7006,11.5,196521,67330,129191,6.8,20,140603,51844,88759,5.3,14.3,55918,5.7,28.6,0,5151,5164,29037
1979,22,62365,74252,1215507,1165151,11225,15.8,5512,7.7,260552,89321,171231,7.7,22.4,159840,50645,109195,4.3,13.7,100712,8.7,27.4,0,57,76,1700
1979,23,19869,22795,316786,312784,3047,13.5,2591,11.4,53556,19345,34211,6.2,17.1,45551,15107,30444,4.8,14.6,8005,2.5,29.2,0,1844,1850,8580
1979,24,60020,71895,1229447,1201416,9754,13.7,7883,11.1,222737,73443,149294,6.1,18.5,166675,65385,101290,5.4,13.9,56062,4.6,27.8,0,5445,5480,29949
1979,25,96896,112320,2205080,2149490,13250,11.9,10916,9.8,386725,115809,270916,5.4,18,275547,88524,187023,4.1,12.8,111178,5.2,25.6,0,7506,7533,45723
1979,26,127968,153288,3063605,2984910,20179,13.3,16679,11,509859,161024,348835,5.4,17.1,352469,126514,225955,4.2,11.8,157390,5.3,23.6,0,11511,11570,69149
1979,27,69380,81493,1472870,1422886,10832,13.5,8500,10.6,283390,91291,192099,6.4,19.9,183424,66120,117304,4.6,12.9,99966,7,25.8,0,5920,5940,33403
1979,28,36199,42574,646609,626892,6647,15.9,4992,11.9,130808,45443,85365,7.2,20.9,91374,34492,56882,5.5,14.6,39434,6.3,29.2,0,3734,3745,19545
1979,29,82474,98154,1681303,1635028,13324,13.7,11341,11.6,305814,94694,211120,5.8,18.7,213264,81579,131685,5,13,92550,5.7,26,0,7979,8040,43086
1979,30,17670,20088,228145,212853,3314,17.3,1689,8.8,58203,19207,38996,9,27.3,27619,8756,18863,4.1,13,30584,14.3,26,0,20,20,221
1979,31,32337,37235,500856,490679,4618,12.5,4047,10.9,92741,27842,64899,5.7,18.9,72387,22789,49598,4.6,14.8,20354,4.1,29.6,0,2796,2802,12552
1979,32,14672,16794,321765,295495,3559,22.8,1365,8.7,90270,38094,52176,12.9,30.5,37729,13000,24729,4.4,12.8,52541,17.7,25.6,0,90,91,842
1979,33,17923,20053,320709,307894,2937,14.9,2196,11.1,63490,19469,44021,6.3,20.6,37859,14011,23848,4.6,12.3,25631,8.3,24.6,0,1577,1583,7407
1979,34,130217,148058,2506400,2452931,19550,13.4,15091,10.3,449175,150546,298629,6.1,18.3,342238,121545,220693,5,14,106937,4.3,28,0,10295,10322,56858
1979,35,22017,25597,327893,311355,4479,18.3,2309,9.5,78403,31772,46631,10.2,25.2,45326,16743,28583,5.4,14.6,33077,10.6,29.2,0,36,41,832
1979,36,314400,355479,5898564,5829430,43023,12.1,39585,11.2,1017542,315374,702168,5.4,17.5,879274,308839,570435,5.3,15.1,138268,2.4,30.2,0,28952,29066,162536
1979,37,89363,108597,1968285,1909476,15059,14,11908,11.1,339345,115150,224195,6,17.8,221728,85982,135746,4.5,11.6,117617,6.2,23.2,0,8615,8635,44763
1979,38,13969,15784,177608,169999,2266,14.5,1732,11.1,39204,14509,24695,8.5,23.1,23986,9426,14560,5.5,14.1,15218,9,28.2,0,1246,1247,6591
1979,39,156866,195635,3835606,3748563,23969,12.3,20220,10.4,624870,198439,426431,5.3,16.7,450784,168047,282737,4.5,12,174086,4.7,24,0,13349,13401,75469
1979,40,52569,61407,866880,822197,9990,17,4991,8.5,196756,71567,125189,8.7,23.9,107390,36977,70413,4.5,13.1,89366,10.8,26.2,0,91,98,1235
1979,41,51136,59297,871803,834057,10755,18.5,7873,13.6,213411,72451,140960,8.7,25.6,137919,52839,85080,6.3,16.5,75492,9.1,33,0,5680,5688,30102
1979,42,178610,214383,4008476,3961443,24802,11.6,21000,9.9,639039,189474,449565,4.8,16.1,544975,174865,370110,4.4,13.8,94064,2.3,27.6,0,14392,14463,78769
1979,44,18272,20279,342200,337713,2454,12.2,1919,9.6,58066,18718,39348,5.5,17.2,49092,14366,34726,4.3,14.5,8974,2.7,29,0,1340,1342,7370
1979,45,44355,53019,963565,938993,7385,14,6156,11.7,163566,51763,111803,5.5,17.4,114421,38289,76132,4.1,12.2,49145,5.2,24.4,0,4523,4557,22195
1979,46,14553,16413,185558,178124,2254,13.9,1867,11.5,39491,14841,24650,8.3,22.2,24622,9900,14722,5.6,13.8,14869,8.4,27.6,0,1327,1328,6139
1979,47,68319,81799,1458548,1421801,11998,14.8,10104,12.5,274886,96562,178324,6.8,19.3,201392,72815,128577,5.1,14.2,73494,5.1,28.4,0,7187,7199,38245
1979,48,228578,282027,4678309,4451915,47563,17.7,22226,8.3,1091347,419761,671586,9.4,24.5,638559,199536,439023,4.5,14.3,452788,10.2,28.6,0,308,381,9442
1979,49,23104,26717,412765,395108,4557,18,2026,8,91838,37072,54766,9.4,23.2,56524,17725,38799,4.5,14.3,35314,8.9,28.6,0,37,41,650
1979,50,11342,12557,164290,160801,1754,14.2,1360,11,30229,10358,19871,6.4,18.8,23250,8177,15073,5.1,14.5,6979,4.3,29,0,1040,1046,5397
1979,51,77093,93960,1550702,1512693,13103,14.1,10379,11.2,287146,99284,187862,6.6,19,211127,73675,137452,4.9,14,76019,5,28,0,7399,7422,37383
1979,53,72955,85377,1217909,1207023,15288,18.3,10892,13,287274,104453,182821,8.7,23.8,265501,98856,166645,8.2,22,21773,1.8,44,0,7480,7512,40436
1979,54,27286,31833,527496,489847,4355,13.8,3578,11.3,132816,29320,103496,6,27.1,57518,20797,36721,4.2,11.7,75298,15.4,23.4,0,2529,2536,10888
1979,55,80153,92771,1621788,1583427,11373,12.4,9200,10,260102,82898,177204,5.2,16.4,183381,63675,119706,4,11.6,76721,4.8,23.2,0,6444,6463,33301
1979,56,10657,11918,139402,132072,2226,19.7,1015,9,35934,15539,20395,11.8,27.2,21273,6545,14728,5,16.1,14661,11.1,32.2,0,25,26,272
1980,1,54507,65854,1080425,1080568,8630,13.1,8429,12.8,179438,61158,118280,5.7,16.6,179725,58060,121665,5.4,16.6,-287,0,33.2,0,6072,6086,33755
1980,2,7080,8329,108387,107906,1477,17.8,1347,16.2,24364,8920,15444,8.3,22.6,23402,7889,15513,7.3,21.7,962,0.9,43.4,0,886,892,4606
1980,4,42353,51123,801825,784121,9369,18.8,6660,13.3,172601,72269,100332,9.2,22,137193,48653,88540,6.2,17.5,35408,4.5,35,0,4764,4776,28768
1980,5,36611,41953,619928,611113,5632,13.4,5457,13,112208,36101,76107,5.9,18.4,94578,31904,62674,5.2,15.5,17630,2.9,31,0,3971,3981,17746
1980,6,411297,494138,8243332,8071049,81835,16.8,63885,13.1,1724557,662476,1062081,8.2,21.4,1379990,510047,869943,6.3,17.1,344567,4.3,34.2,0,44376,44586,281614
